student_id,school,major,year,age,gender,seed_keywords,interest_profile,research_interests,methods_tools,profile_keywords
NU_ENG_000011,NU,Computer Engineering,1,18,M,"['computer vision', 'architecture', 'IoT', 'embedded']","I'm exploring different directions in Computer Engineering through intro courses and small projects. My main interests include hardware-software co-design, real-time systems, IoT, edge inference and applying them to smart devices.","['robotics', 'hardware-software co-design', 'edge inference', 'computer architecture', 'real-time systems']","['Python', 'C/C++', 'microcontrollers', 'debugging', 'profiling']","['computer vision', 'architecture', 'IoT', 'hardware-software co-design', 'real-time systems', 'smart devices', 'Python', 'C/C++', 'microcontrollers', 'edge inference', 'capstone', 'embedded systems']"
NU_ENG_000012,NU,Materials Science and Engineering,2,19,F,"['team projects', 'modeling', 'experiments', 'data analysis']","I'm getting more focused in Materials Science and Engineering by taking core classes and joining hands-on team projects. My main interests include characterization, materials processing, modeling, property prediction and applying them to electronics.","['energy materials', 'property prediction', 'electronics', 'nanomaterials', 'biomaterials']","['experiments', 'data analysis', 'Python', 'materials selection', 'lab characterization']","['team projects', 'modeling', 'experiments', 'characterization', 'materials processing', 'electronics', 'data analysis', 'Python', 'property prediction', 'lab characterization', 'biomaterials', 'simulation']"
NU_ENG_000013,NU,Computer Science,1,19,M,"['NLP', 'machine learning', 'data', 'systems']","I'm exploring different directions in Computer Science through intro courses and small projects. My main interests include NLP, HCI, software engineering, computer vision and applying them to healthcare.","['systems', 'education tech', 'HCI', 'computer vision', 'healthcare']","['SQL', 'testing', 'Git', 'debugging', 'APIs']","['NLP', 'machine learning', 'data', 'HCI', 'software engineering', 'healthcare', 'SQL', 'testing', 'Git', 'computer vision', 'finance', 'Python']"
NU_ENG_000014,NU,Industrial Engineering,2,19,M,"['quality', 'optimization', 'analytics', 'supply chain']","I'm getting more focused in Industrial Engineering by taking core classes and joining hands-on team projects. My main interests include quality engineering, supply chain, process improvement and applying them to production planning.","['service systems', 'supply chain', 'human factors', 'optimization', 'manufacturing systems']","['data visualization', 'Python', 'discrete-event simulation', 'linear programming', 'A/B testing']","['quality', 'optimization', 'analytics', 'quality engineering', 'supply chain', 'process improvement', 'production planning', 'data visualization', 'Python', 'discrete-event simulation', 'A/B testing', 'design reviews']"
NU_ENG_000015,NU,Computer Science,2,19,M,"['algorithms', 'NLP', 'machine learning', 'data']","I'm getting more focused in Computer Science by taking core classes and joining hands-on team projects. My main interests include data engineering, NLP, software engineering and applying them to finance.","['software engineering', 'data engineering', 'education tech', 'manufacturing analytics', 'healthcare']","['SQL', 'APIs', 'Python', 'testing', 'debugging']","['algorithms', 'NLP', 'machine learning', 'data engineering', 'software engineering', 'finance', 'SQL', 'APIs', 'Python', 'computer vision', 'internship', 'security']"
NU_ENG_000016,NU,Chemical Engineering,3,20,F,"['design', 'programming', 'team projects', 'experiments']","I'm building depth in Chemical Engineering with advanced coursework and research/industry-style projects. My main interests include catalysis, process safety, team projects and applying them to sustainable manufacturing.","['catalysis', 'process design', 'design', 'pharma', 'energy']","['lab experiments', 'process simulation', 'mass/energy balances', 'MATLAB', 'data analysis']","['design', 'programming', 'team projects', 'catalysis', 'process safety', 'sustainable manufacturing', 'lab experiments', 'process simulation', 'mass/energy balances', 'internship', 'data analysis', 'Python']"
NU_ENG_000017,NU,Computer Science,2,19,M,"['systems', 'AI', 'data', 'NLP']","I'm getting more focused in Computer Science by taking core classes and joining hands-on team projects. My main interests include HCI, software engineering, security, machine learning and applying them to robotics.","['manufacturing analytics', 'education tech', 'HCI', 'data engineering', 'security']","['Python', 'testing', 'SQL', 'debugging', 'Git']","['systems', 'AI', 'data', 'HCI', 'software engineering', 'security', 'robotics', 'Python', 'testing', 'SQL', 'machine learning', 'computer vision']"
NU_ENG_000018,NU,Biomedical Engineering,1,18,F,"['modeling', 'experiments', 'data analysis', 'programming']","I'm exploring different directions in Biomedical Engineering through intro courses and small projects. My main interests include modeling, data analysis, bioinstrumentation, image analysis and applying them to wearables.","['assistive tech', 'data analysis', 'rehabilitation engineering', 'modeling', 'image analysis']","['data analysis', 'modeling', 'Python', 'signal processing', 'experiments']","['modeling', 'experiments', 'data analysis', 'bioinstrumentation', 'wearables', 'Python', 'image analysis', 'signal processing', 'biomaterials', 'imaging', 'medical imaging', 'capstone']"
NU_ENG_000019,NU,Industrial Engineering,3,20,M,"['simulation', 'analytics', 'supply chain', 'operations']","I'm building depth in Industrial Engineering with advanced coursework and research/industry-style projects. My main interests include simulation, analytics, operations, reinforcement learning and applying them to production planning.","['process improvement', 'production planning', 'healthcare operations', 'operations research', 'service systems']","['data visualization', 'A/B testing', 'process mapping', 'R', 'linear programming']","['simulation', 'analytics', 'supply chain', 'operations', 'production planning', 'data visualization', 'A/B testing', 'process mapping', 'reinforcement learning', 'Python', 'capstone', 'healthcare operations']"
NU_ENG_000020,NU,Computer Science,2,20,M,"['systems', 'NLP', 'data', 'AI']","I'm getting more focused in Computer Science by taking core classes and joining hands-on team projects. My main interests include algorithms, AI, software engineering, machine learning and applying them to finance.","['healthcare', 'machine learning', 'security', 'AI', 'finance']","['Git', 'SQL', 'Python', 'APIs', 'testing']","['systems', 'NLP', 'data', 'algorithms', 'AI', 'software engineering', 'finance', 'Git', 'SQL', 'Python', 'machine learning', 'internship']"
NU_ENG_000021,NU,Industrial Engineering,3,20,M,"['supply chain', 'simulation', 'analytics', 'operations']","I'm building depth in Industrial Engineering with advanced coursework and research/industry-style projects. My main interests include optimization, simulation, operations research and applying them to healthcare operations.","['human factors', 'manufacturing systems', 'operations research', 'process improvement', 'healthcare operations']","['R', 'linear programming', 'A/B testing', 'discrete-event simulation', 'Python']","['supply chain', 'simulation', 'analytics', 'optimization', 'operations research', 'process improvement', 'healthcare operations', 'R', 'linear programming', 'A/B testing', 'capstone', 'process mapping']"
NU_ENG_000022,NU,Computer Engineering,1,18,F,"['embedded', 'computer vision', 'IoT', 'systems']","I'm exploring different directions in Computer Engineering through intro courses and small projects. My main interests include computer architecture, digital design, computer vision, edge inference and applying them to manufacturing automation.","['real-time systems', 'computer architecture', 'hardware-software co-design', 'IoT', 'embedded systems']","['microcontrollers', 'C/C++', 'profiling', 'Verilog/HDL', 'Python']","['embedded', 'computer vision', 'IoT', 'computer architecture', 'digital design', 'manufacturing automation', 'microcontrollers', 'C/C++', 'profiling', 'edge inference', 'Python', 'real-time systems']"
NU_ENG_000023,NU,Materials Science and Engineering,1,18,F,"['data analysis', 'team projects', 'programming', 'modeling']","I'm exploring different directions in Materials Science and Engineering through intro courses and small projects. My main interests include materials processing, programming, polymers and applying them to electronics.","['nanomaterials', 'materials processing', 'polymers', 'failure analysis', 'electronics']","['materials selection', 'Python', 'simulation', 'data analysis', 'experiments']","['data analysis', 'team projects', 'programming', 'materials processing', 'polymers', 'electronics', 'materials selection', 'Python', 'simulation', 'design reviews', 'lab work', 'nanomaterials']"
NU_ENG_000024,NU,Manufacturing and Design Engineering,1,19,M,"['programming', 'data analysis', 'modeling', 'team projects']","I'm exploring different directions in Manufacturing and Design Engineering through intro courses and small projects. My main interests include quality control, programming, design for manufacturability and applying them to smart factories.","['design for manufacturability', 'process planning', 'quality control', 'smart factories', 'manufacturing']","['DOE', 'process modeling', 'rapid prototyping', 'CAD', 'shop-floor data analysis']","['programming', 'data analysis', 'modeling', 'quality control', 'design for manufacturability', 'smart factories', 'DOE', 'process modeling', 'rapid prototyping', 'internship', 'product design', 'industrial automation']"
NU_ENG_000025,NU,Industrial Engineering,2,20,F,"['operations', 'quality', 'supply chain', 'analytics']","I'm getting more focused in Industrial Engineering by taking core classes and joining hands-on team projects. My main interests include process improvement, supply chain, optimization and applying them to healthcare operations.","['production planning', 'logistics', 'service systems', 'simulation', 'manufacturing systems']","['A/B testing', 'Python', 'linear programming', 'process mapping', 'discrete-event simulation']","['operations', 'quality', 'supply chain', 'process improvement', 'optimization', 'healthcare operations', 'A/B testing', 'Python', 'linear programming', 'manufacturing systems', 'quality engineering', 'ML for operations']"
NU_ENG_000026,NU,Biomedical Engineering,2,20,M,"['team projects', 'experiments', 'data analysis', 'design']","I'm getting more focused in Biomedical Engineering by taking core classes and joining hands-on team projects. My main interests include medical devices, imaging, rehabilitation engineering and applying them to medical imaging.","['healthcare', 'bioinstrumentation', 'medical devices', 'assistive tech', 'imaging']","['experiments', 'MATLAB', 'modeling', 'data analysis', 'Python']","['team projects', 'experiments', 'data analysis', 'medical devices', 'imaging', 'rehabilitation engineering', 'medical imaging', 'MATLAB', 'modeling', 'biomechanics', 'design reviews', 'signal processing']"
NU_ENG_000027,NU,Computer Science,4,21,M,"['data', 'AI', 'machine learning', 'algorithms']","I'm specializing in Computer Science through capstone work and targeted research experience. My main interests include software engineering, machine learning, data and applying them to finance.","['security', 'data', 'finance', 'algorithms', 'education tech']","['debugging', 'testing', 'Git', 'APIs', 'SQL']","['data', 'AI', 'machine learning', 'software engineering', 'HCI', 'finance', 'debugging', 'testing', 'Git', 'algorithms', 'APIs', 'systems']"
NU_ENG_000028,NU,Applied Math,2,19,M,"['experiments', 'data analysis', 'team projects', 'modeling']","I'm getting more focused in Applied Math by taking core classes and joining hands-on team projects. My main interests include optimization, modeling, team projects, ML foundations and applying them to engineering modeling.","['ML foundations', 'manufacturing systems', 'optimization', 'modeling', 'probability']","['Python', 'simulation', 'linear algebra', 'numerical methods', 'R']","['experiments', 'data analysis', 'team projects', 'optimization', 'modeling', 'engineering modeling', 'Python', 'simulation', 'linear algebra', 'ML foundations', 'statistics', 'manufacturing systems']"
NU_ENG_000029,NU,Biomedical Engineering,3,20,F,"['team projects', 'programming', 'experiments', 'data analysis']","I'm building depth in Biomedical Engineering with advanced coursework and research/industry-style projects. My main interests include rehabilitation engineering, team projects, medical devices, image analysis and applying them to medical imaging.","['assistive tech', 'imaging', 'medical devices', 'image analysis', 'wearables']","['signal processing', 'MATLAB', 'Python', 'experiments', 'data analysis']","['team projects', 'programming', 'experiments', 'rehabilitation engineering', 'medical devices', 'bioinstrumentation', 'medical imaging', 'signal processing', 'MATLAB', 'Python', 'image analysis', 'biomaterials']"
NU_ENG_000030,NU,Electrical Engineering,3,21,F,"['circuits', 'communications', 'signals', 'embedded']","I'm building depth in Electrical Engineering with advanced coursework and research/industry-style projects. My main interests include power systems, embedded sensing, controls and applying them to sensing.","['power systems', 'sensing', 'controls', 'communications', 'embedded sensing']","['Python', 'simulation', 'MATLAB', 'circuit analysis', 'control design']","['circuits', 'communications', 'signals', 'power systems', 'embedded sensing', 'controls', 'embedded', 'sensing', 'Python', 'simulation', 'MATLAB', 'manufacturing automation']"
NU_ENG_000031,NU,Industrial Engineering,1,18,NB,"['optimization', 'analytics', 'quality', 'operations']","I'm exploring different directions in Industrial Engineering through intro courses and small projects. My main interests include operations research, process improvement, optimization and applying them to manufacturing systems.","['manufacturing systems', 'process improvement', 'logistics', 'healthcare operations', 'service systems']","['process mapping', 'data visualization', 'R', 'discrete-event simulation', 'A/B testing']","['optimization', 'analytics', 'quality', 'operations research', 'process improvement', 'manufacturing systems', 'process mapping', 'data visualization', 'R', 'ML for operations', 'healthcare operations', 'supply chain']"
NU_ENG_000032,NU,Materials Science and Engineering,3,20,M,"['design', 'data analysis', 'team projects', 'modeling']","I'm building depth in Materials Science and Engineering with advanced coursework and research/industry-style projects. My main interests include nanomaterials, materials processing, data analysis, property prediction and applying them to electronics.","['materials processing', 'failure analysis', 'property prediction', 'nanomaterials', 'polymers']","['Python', 'simulation', 'experiments', 'data analysis', 'materials selection']","['design', 'data analysis', 'team projects', 'nanomaterials', 'materials processing', 'polymers', 'electronics', 'Python', 'simulation', 'experiments', 'property prediction', 'lab work']"
NU_ENG_000033,NU,Civil Engineering,2,19,F,"['structures', 'sustainability', 'risk', 'transportation']","I'm getting more focused in Civil Engineering by taking core classes and joining hands-on team projects. My main interests include risk, risk/resilience, geotechnical and applying them to construction management.","['sustainability', 'transportation', 'risk/resilience', 'structures', 'climate adaptation']","['design codes', 'data analysis', 'GIS', 'Python', 'simulation']","['structures', 'sustainability', 'risk', 'risk/resilience', 'geotechnical', 'construction management', 'design codes', 'data analysis', 'GIS', 'statistical modeling', 'process monitoring', 'climate adaptation']"
NU_ENG_000034,NU,Computer Engineering,2,19,F,"['embedded', 'hardware', 'architecture', 'IoT']","I'm getting more focused in Computer Engineering by taking core classes and joining hands-on team projects. My main interests include embedded systems, hardware-software co-design, IoT, edge inference and applying them to sensing.","['computer architecture', 'smart devices', 'hardware-software co-design', 'manufacturing automation', 'IoT']","['C/C++', 'Verilog/HDL', 'Python', 'debugging', 'profiling']","['embedded', 'hardware', 'architecture', 'embedded systems', 'hardware-software co-design', 'IoT', 'sensing', 'C/C++', 'Verilog/HDL', 'Python', 'edge inference', 'smart devices']"
NU_ENG_000035,NU,Computer Science,1,18,F,"['NLP', 'machine learning', 'algorithms', 'systems']","I'm exploring different directions in Computer Science through intro courses and small projects. My main interests include systems, machine learning, NLP, computer vision and applying them to education tech.","['machine learning', 'healthcare', 'data engineering', 'computer vision', 'security']","['Python', 'Git', 'testing', 'debugging', 'APIs']","['NLP', 'machine learning', 'algorithms', 'systems', 'education tech', 'Python', 'Git', 'testing', 'computer vision', 'finance', 'manufacturing analytics', 'HCI']"
NU_ENG_000036,NU,Biomedical Engineering,4,21,Unknown,"['team projects', 'experiments', 'design', 'data analysis']","I'm specializing in Biomedical Engineering through capstone work and targeted research experience. My main interests include team projects, imaging, bioinstrumentation, image analysis and applying them to medical imaging.","['biomechanics', 'team projects', 'assistive tech', 'wearables', 'biomaterials']","['experiments', 'MATLAB', 'data analysis', 'modeling', 'signal processing']","['team projects', 'experiments', 'design', 'imaging', 'bioinstrumentation', 'data analysis', 'medical imaging', 'MATLAB', 'image analysis', 'Python', 'biomechanics', 'signal processing']"
NU_ENG_000037,NU,Biomedical Engineering,4,21,F,"['data analysis', 'experiments', 'modeling', 'programming']","I'm specializing in Biomedical Engineering through capstone work and targeted research experience. My main interests include biomaterials, experiments, medical devices and applying them to healthcare.","['biomaterials', 'medical imaging', 'biomechanics', 'medical devices', 'programming']","['signal processing', 'data analysis', 'experiments', 'Python', 'MATLAB']","['data analysis', 'experiments', 'modeling', 'biomaterials', 'medical devices', 'programming', 'healthcare', 'signal processing', 'wearables', 'image analysis', 'Python', 'biomechanics']"
NU_ENG_000038,NU,Computer Science,1,19,F,"['machine learning', 'algorithms', 'systems', 'data']","I'm exploring different directions in Computer Science through intro courses and small projects. My main interests include security, data engineering, HCI, computer vision and applying them to robotics.","['HCI', 'finance', 'algorithms', 'manufacturing analytics', 'security']","['APIs', 'Python', 'debugging', 'testing', 'Git']","['machine learning', 'algorithms', 'systems', 'security', 'data engineering', 'HCI', 'robotics', 'APIs', 'Python', 'debugging', 'computer vision', 'finance']"
NU_ENG_000039,NU,Chemical Engineering,3,20,M,"['experiments', 'modeling', 'data analysis', 'team projects']","I'm building depth in Chemical Engineering with advanced coursework and research/industry-style projects. My main interests include transport phenomena, reaction engineering, process design, process monitoring models and applying them to pharma.","['sustainable manufacturing', 'pharma', 'catalysis', 'reaction engineering', 'process design']","['lab experiments', 'Python', 'MATLAB', 'data analysis', 'process simulation']","['experiments', 'modeling', 'data analysis', 'transport phenomena', 'reaction engineering', 'process design', 'pharma', 'lab experiments', 'Python', 'MATLAB', 'process monitoring models', 'design reviews']"
NU_ENG_000040,NU,Electrical Engineering,4,22,F,"['signals', 'embedded', 'communications', 'circuits']","I'm specializing in Electrical Engineering through capstone work and targeted research experience. My main interests include embedded, signals, power systems and applying them to sensing.","['wireless', 'circuits', 'smart grid', 'signals', 'power systems']","['Python', 'control design', 'circuit analysis', 'lab instrumentation', 'simulation']","['signals', 'embedded', 'communications', 'power systems', 'circuits', 'sensing', 'Python', 'control design', 'circuit analysis', 'simulation', 'fault detection', 'lab instrumentation']"
NU_ENG_000041,NU,Computer Science,2,19,F,"['algorithms', 'AI', 'machine learning', 'systems']","I'm getting more focused in Computer Science by taking core classes and joining hands-on team projects. My main interests include data engineering, security, HCI, NLP and applying them to robotics.","['systems', 'data engineering', 'manufacturing analytics', 'algorithms', 'education tech']","['Python', 'SQL', 'debugging', 'Git', 'APIs']","['algorithms', 'AI', 'machine learning', 'data engineering', 'security', 'HCI', 'robotics', 'Python', 'SQL', 'debugging', 'NLP', 'internship']"
NU_ENG_000042,NU,Industrial Engineering,4,23,Unknown,"['optimization', 'supply chain', 'operations', 'quality']","I'm specializing in Industrial Engineering through capstone work and targeted research experience. My main interests include human factors, quality, optimization and applying them to logistics.","['optimization', 'human factors', 'quality engineering', 'operations research', 'manufacturing systems']","['discrete-event simulation', 'A/B testing', 'process mapping', 'data visualization', 'R']","['optimization', 'supply chain', 'operations', 'human factors', 'quality', 'logistics', 'discrete-event simulation', 'A/B testing', 'process mapping', 'process monitoring', 'healthcare operations', 'manufacturing systems']"
NU_ENG_000043,NU,Electrical Engineering,3,20,M,"['embedded', 'signals', 'control', 'circuits']","I'm building depth in Electrical Engineering with advanced coursework and research/industry-style projects. My main interests include power systems, signals, embedded and applying them to wireless.","['wireless', 'power systems', 'smart grid', 'embedded', 'embedded sensing']","['Python', 'simulation', 'MATLAB', 'circuit analysis', 'lab instrumentation']","['embedded', 'signals', 'control', 'power systems', 'embedded sensing', 'wireless', 'Python', 'simulation', 'MATLAB', 'capstone', 'controls', 'lab work']"
NU_ENG_000044,NU,Civil Engineering,4,22,F,"['water', 'sustainability', 'transportation', 'structures']","I'm specializing in Civil Engineering through capstone work and targeted research experience. My main interests include construction, sustainability, water resources and applying them to climate adaptation.","['risk/resilience', 'structures', 'transportation', 'construction', 'infrastructure']","['data analysis', 'Python', 'design codes', 'simulation', 'GIS']","['water', 'sustainability', 'transportation', 'construction', 'water resources', 'climate adaptation', 'data analysis', 'Python', 'design codes', 'remote sensing analytics', 'statistical modeling', 'smart cities']"
NU_ENG_000045,NU,Industrial Engineering,4,22,M,"['supply chain', 'optimization', 'simulation', 'analytics']","I'm specializing in Industrial Engineering through capstone work and targeted research experience. My main interests include quality engineering, simulation, operations research, ML for operations and applying them to service systems.","['healthcare operations', 'ML for operations', 'quality engineering', 'production planning', 'optimization']","['data visualization', 'R', 'A/B testing', 'process mapping', 'Python']","['supply chain', 'optimization', 'simulation', 'quality engineering', 'operations research', 'service systems', 'data visualization', 'R', 'A/B testing', 'ML for operations', 'logistics', 'reinforcement learning']"
NU_ENG_000046,NU,Industrial Engineering,1,18,F,"['supply chain', 'operations', 'optimization', 'simulation']","I'm exploring different directions in Industrial Engineering through intro courses and small projects. My main interests include process improvement, supply chain, optimization and applying them to logistics.","['production planning', 'operations research', 'human factors', 'service systems', 'healthcare operations']","['process mapping', 'discrete-event simulation', 'linear programming', 'R', 'A/B testing']","['supply chain', 'operations', 'optimization', 'process improvement', 'logistics', 'process mapping', 'discrete-event simulation', 'linear programming', 'human factors', 'design reviews', 'internship', 'healthcare operations']"
NU_ENG_000047,NU,Computer Engineering,2,19,F,"['computer vision', 'IoT', 'hardware', 'architecture']","I'm getting more focused in Computer Engineering by taking core classes and joining hands-on team projects. My main interests include IoT, architecture, hardware-software co-design, edge inference and applying them to robotics.","['architecture', 'robotics', 'real-time systems', 'hardware-software co-design', 'edge inference']","['microcontrollers', 'Python', 'Verilog/HDL', 'debugging', 'C/C++']","['computer vision', 'IoT', 'hardware', 'architecture', 'hardware-software co-design', 'robotics', 'microcontrollers', 'Python', 'Verilog/HDL', 'edge inference', 'sensing', 'process monitoring']"
NU_ENG_000048,NU,Civil Engineering,3,20,M,"['sustainability', 'structures', 'geotech', 'transportation']","I'm building depth in Civil Engineering with advanced coursework and research/industry-style projects. My main interests include sustainability, construction, structures and applying them to infrastructure.","['structures', 'risk/resilience', 'infrastructure', 'geotechnical', 'smart cities']","['GIS', 'Python', 'data analysis', 'simulation', 'design codes']","['sustainability', 'structures', 'geotech', 'construction', 'transportation', 'infrastructure', 'GIS', 'Python', 'data analysis', 'water resources', 'risk/resilience', 'simulation']"
NU_ENG_000049,NU,Electrical Engineering,1,18,M,"['power', 'communications', 'signals', 'circuits']","I'm exploring different directions in Electrical Engineering through intro courses and small projects. My main interests include communications, power systems, controls, fault detection and applying them to smart grid.","['power systems', 'communications', 'sensing', 'signals', 'robotics']","['MATLAB', 'circuit analysis', 'control design', 'Python', 'simulation']","['power', 'communications', 'signals', 'power systems', 'controls', 'smart grid', 'MATLAB', 'circuit analysis', 'control design', 'fault detection', 'lab instrumentation', 'wireless']"
NU_ENG_000050,NU,Biomedical Engineering,2,20,M,"['experiments', 'design', 'programming', 'modeling']","I'm getting more focused in Biomedical Engineering by taking core classes and joining hands-on team projects. My main interests include design, bioinstrumentation, modeling, image analysis and applying them to assistive tech.","['biomaterials', 'rehabilitation engineering', 'imaging', 'image analysis', 'assistive tech']","['signal processing', 'experiments', 'data analysis', 'Python', 'modeling']","['experiments', 'design', 'programming', 'bioinstrumentation', 'modeling', 'assistive tech', 'signal processing', 'data analysis', 'image analysis', 'biomechanics', 'design reviews', 'wearables']"
NU_ENG_000051,NU,Biomedical Engineering,4,22,M,"['team projects', 'data analysis', 'programming', 'modeling']","I'm specializing in Biomedical Engineering through capstone work and targeted research experience. My main interests include modeling, medical devices, team projects and applying them to healthcare.","['wearables', 'biomaterials', 'medical imaging', 'biomechanics', 'assistive tech']","['data analysis', 'Python', 'modeling', 'MATLAB', 'experiments']","['team projects', 'data analysis', 'programming', 'modeling', 'medical devices', 'rehabilitation engineering', 'healthcare', 'Python', 'lab work', 'biomaterials', 'signal processing', 'biomechanics']"
NU_ENG_000052,NU,Applied Math,1,18,F,"['design', 'programming', 'team projects', 'data analysis']","I'm exploring different directions in Applied Math through intro courses and small projects. My main interests include scientific computing, programming, design, ML foundations and applying them to engineering modeling.","['design', 'numerical methods', 'energy', 'scientific computing', 'optimization']","['Python', 'linear algebra', 'data analysis', 'R', 'simulation']","['design', 'programming', 'team projects', 'scientific computing', 'engineering modeling', 'Python', 'linear algebra', 'data analysis', 'ML foundations', 'modeling', 'lab work', 'R']"
NU_ENG_000053,NU,Industrial Engineering,2,19,M,"['operations', 'simulation', 'supply chain', 'quality']","I'm getting more focused in Industrial Engineering by taking core classes and joining hands-on team projects. My main interests include quality engineering, human factors, quality and applying them to healthcare operations.","['optimization', 'operations research', 'human factors', 'quality engineering', 'process improvement']","['A/B testing', 'data visualization', 'Python', 'R', 'discrete-event simulation']","['operations', 'simulation', 'supply chain', 'quality engineering', 'human factors', 'quality', 'healthcare operations', 'A/B testing', 'data visualization', 'Python', 'service systems', 'discrete-event simulation']"
